kanji,freq
尼,2317
坑,2318
柵,2319
姻,2320
擲,2321
填,2322
翠,2323
剃,2324
緋,2325
鞍,2326
掬,2327
袈,2328
裟,2329
碗,2330
拉,2331
傭,2332
弛,2333
脆,2334
淋,2335
豹,2336
輔,2337
葵,2338
慄,2339
兜,2340
峙,2341
咥,2342
筑,2343
縞,2344
叛,2345
蒔,2346
曝,2347
娼,2348
娯,2349
碁,2350
隈,2351
鉤,2352
糊,2353
仄,2354
也,2355
彰,2356
漸,2357
套,2358
燕,2359
囃,2360
鋳,2361
歎,2362
該,2363
砦,2364
瞥,2365
薪,2366
叢,2367
嘗,2368
祇,2369
賦,2370
灼,2371
窪,2372
嗚,2373
寵,2374
樽,2375
謂,2376
凸,2377
淹,2378
於,2379
脛,2380
贄,2381
躾,2382
肖,2383
挺,2384
拷,2385
賤,2386
謡,2387
倦,2388
苑,2389
嶺,2390
贔,2391
斥,2392
伎,2393
啜,2394
蚕,2395
俵,2396
窒,2397
洛,2398
杭,2399
燻,2400
芥,2401
諜,2402
紗,2403
袴,2404
俄,2405
儒,2406
屯,2407
笹,2408
桑,2409
妓,2410
逝,2411
柴,2412
屠,2413
茸,2414
忽,2415
跨,2416
盃,2417
狡,2418
靄,2419
摑,2420
翳,2421
勾,2422
桐,2423
剖,2424
枷,2425
舷,2426
巴,2427
檀,2428
屓,2429
杏,2430
謁,2431
聡,2432
毅,2433
撰,2434
曳,2435
濫,2436
糾,2437
尤,2438
鋒,2439
嫡,2440
簾,2441
齧,2442
蹟,2443
楚,2444
矯,2445
涎,2446
唆,2447
姑,2448
琉,2449
兇,2450
汎,2451
辣,2452
澤,2453
葺,2454
遁,2455
侶,2456
憫,2457
礁,2458
頰,2459
迄,2460
葱,2461
眞,2462
哨,2463
凜,2464
颯,2465
奸,2466
渓,2467
茨,2468
晦,2469
躙,2470
駿,2471
椒,2472
臼,2473
泌,2474
楊,2475
遡,2476
蠅,2477
唖,2478
裡,2479
粟,2480
訟,2481
帥,2482
徨,2483
叡,2484
浩,2485
悼,2486
橘,2487
儚,2488
滓,2489
菱,2490
轢,2491
鯛,2492
噓,2493
蠟,2494
櫛,2495
澱,2496
哉,2497
嵩,2498
董,2499
莉,2500
焔,2501
准,2502
柏,2503
捏,2504
棘,2505
蝉,2506
箋,2507
鵜,2508
碌,2509
洪,2510
箔,2511
膿,2512
贋,2513
臍,2514
蠢,2515
靡,2516
眸,2517
瀕,2518
熾,2519
伍,2520
岬,2521
鯉,2522
檻,2523
桟,2524
宥,2525
捷,2526
謳,2527
翁,2528
疵,2529
堰,2530
殉,2531
窃,2532
粥,2533
箪,2534
繍,2535
鋏,2536
嚙,2537
繫,2538
禽,2539
篠,2540
播,2541
濤,2542
峻,2543
咆,2544
曽,2545
搦,2546
汝,2547
椿,2548
柑,2549
餡,2550
疼,2551
湛,2552
憚,2553
滋,2554
梳,2555
僻,2556
逞,2557
毯,2558
顛,2559
籤,2560
瘍,2561
諏,2562
凪,2563
賽,2564
緻,2565
膠,2566
而,2567
肋,2568
侠,2569
貶,2570
嘔,2571
撓,2572
榴,2573
跪,2574
爾,2575
茅,2576
惧,2577
捗,2578
疹,2579
摯,2580
慧,2581
瘤,2582
饅,2583
杜,2584
祷,2585
譚,2586
葦,2587
蹄,2588
炸,2589
朦,2590
暢,2591
函,2592
踪,2593
窯,2594
蹲,2595
墳,2596
毀,2597
鹸,2598
托,2599
肴,2600
雫,2601
罷,2602
楓,2603
賠,2604
畔,2605
敦,2606
巌,2607
脹,2608
